run_id,timestamp,stage,init_ckpt,config_tag,change_summary,seed,train_n,dev_f1,dev_acc,testA_f1,testA_acc,testB_f1,testB_acc,testC_f1,testC_acc,params_M,latency_ms_p50_cpu,notes
p1-001,2026-08-29,baseline,none,zero-shot-smart-turn-v3.2-int8,Smart Turn v3.2 int8 CPU zero-shot (models_ref/smart-turn-v3.2-cpu.onnx),NA,0,,,0.930,0.927,0.759,0.788,0.573,0.539,,15,int8 file 8.7 MB; per-clip p50 on CPU incl. feature extraction; testC on MUCS 846-clip v1
p1-002,2026-08-29,baseline,none,silence-threshold-T0.05,"Trailing-silence heuristic (30ms frames, RMS floor 0.01); best T by F1 on test-A",NA,0,,,0.560,0.537,0.622,0.485,0.928,0.921,,,near-chance; acc-best T=0.20s gives testA acc 0.578 / F1 0.534; testC best T=0.15 (200ms pad makes the cue trivial)
s1-001,2026-08-29 15:24,s1,none,s1-attention-mean,,42,7200,0.851,0.853,0.829,0.833,0.571,0.727,0.279,0.541,8.0,20.1,7200 base clips; encoder_frozen=True; unfreeze_last_k=0; per-epoch n=7200
s2-001,2026-08-29 15:28,s2,turn_v2/ckpt/s1-001/best.pt,s2-attention-mean,,42,836,0.849,0.844,0.846,0.842,0.571,0.727,,,8.0,20.4,209 base clips; encoder_frozen=True; unfreeze_last_k=0; per-epoch n=864
s2-002,2026-08-29 15:31,s2,turn_v2/ckpt/s1-001/best.pt,s2-lr1e4,s2 lr 1e-4 (head-only needs more than locked 1e-5),42,836,0.845,0.827,0.843,0.834,0.692,0.758,,,8.0,19.5,209 base clips; encoder_frozen=True; unfreeze_last_k=0; per-epoch n=864
s2-003,2026-08-29 15:35,s2,turn_v2/ckpt/s1-001/best.pt,s2-lr1e4-3ep,"s2 lr 1e-4, 3 epochs (more adaptation steps)",42,836,0.845,0.827,0.844,0.835,0.741,0.788,,,8.0,19.4,209 base clips; encoder_frozen=True; unfreeze_last_k=0; per-epoch n=864
s2-004,2026-08-29 15:41,s2,turn_v2/ckpt/s1-001/best.pt,s2-unfreeze2-lr1e4,"s2 unfreeze last 2 encoder blocks, lr 1e-4 (head-only plateaued at test-B 0.788/0.741)",42,836,0.884,0.875,0.886,0.882,0.968,0.97,0.446,0.6,8.0,20.2,209 base clips; encoder_frozen=False; unfreeze_last_k=2; per-epoch n=864
s2-005,2026-08-29 16:27,s2,turn_v2/ckpt/s1-001/best.pt,s2-replay0,,42,418,0.815,0.809,0.763,0.77,0.968,0.97,0.256,0.553,8.0,15.4,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.0; replay_frac=0.0; per-epoch n=448
s2-006,2026-08-29 16:30,s2,turn_v2/ckpt/s1-001/best.pt,s2-replay025,,42,522,0.84,0.832,0.821,0.816,0.968,0.97,0.424,0.599,8.0,15.5,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.0; replay_frac=0.25; per-epoch n=544
s2-007,2026-08-29 16:34,s2,turn_v2/ckpt/s1-001/best.pt,s2-smooth005,,42,626,0.876,0.869,0.862,0.857,0.968,0.97,0.419,0.597,8.0,15.4,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.05; replay_frac=0.5; per-epoch n=640
s2-008,2026-08-29 16:38,s2,turn_v2/ckpt/s1-001/best.pt,s2-k1,,42,626,0.853,0.842,0.839,0.835,0.968,0.97,0.413,0.6,8.0,16.6,209 base clips; encoder_frozen=False; unfreeze_last_k=1; label_smoothing=0.0; replay_frac=0.5; per-epoch n=640
s2-009,2026-08-29 16:43,s2,turn_v2/ckpt/s1-001/best.pt,s2-k4,,42,626,0.85,0.838,0.844,0.836,1.0,1.0,0.396,0.582,8.0,16.5,209 base clips; encoder_frozen=False; unfreeze_last_k=4; label_smoothing=0.0; replay_frac=0.5; per-epoch n=640
s2-010,2026-08-29 16:47,s2,turn_v2/ckpt/s1-001/best.pt,s2-full,,42,626,0.847,0.834,0.837,0.83,1.0,1.0,0.375,0.579,8.0,16.7,209 base clips; encoder_frozen=False; unfreeze_last_k=0; label_smoothing=0.0; replay_frac=0.5; per-epoch n=640
s1-002,2026-08-29 16:59,s1,none,s1-asp,,42,7200,0.863,0.859,0.846,0.843,0.769,0.818,0.361,0.394,8.1,16.7,7200 base clips; encoder_frozen=True; unfreeze_last_k=0; label_smoothing=0.0; replay_frac=0.5; per-epoch n=7200
s1-003,2026-08-29 17:11,s1,none,s1-attend-end,,42,7200,0.869,0.868,0.821,0.824,0.696,0.788,0.333,0.512,8.1,20.0,7200 base clips; encoder_frozen=True; unfreeze_last_k=0; label_smoothing=0.0; replay_frac=0.5; per-epoch n=7200
s2-011,2026-08-29 17:16,s2,turn_v2/ckpt/s1-002/best.pt,s2-asp,,42,626,0.868,0.86,0.849,0.842,0.897,0.909,0.436,0.455,8.1,21.8,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.0; replay_frac=0.5; per-epoch n=640
s2-012,2026-08-29 17:21,s2,turn_v2/ckpt/s1-003/best.pt,s2-attend-end,,42,626,0.865,0.86,0.841,0.836,0.968,0.97,0.435,0.539,8.1,21.5,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.0; replay_frac=0.5; per-epoch n=640
s1-004,2026-08-29 21:19,s1,none,s1-teacher-small,,42,7200,0.913,0.912,0.904,0.902,0.545,0.697,0.432,0.508,87.72,15.5,7200 base clips; encoder_frozen=True; unfreeze_last_k=0; label_smoothing=0.0; replay_frac=0.5; kd=off; per-epoch n=7200
s2-013,2026-08-29 21:26,s2,turn_v2/ckpt/s1-004/best.pt,s2-teacher-small,,42,626,0.93,0.931,0.915,0.913,1.0,1.0,0.541,0.603,87.72,14.2,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.0; replay_frac=0.5; kd=off; per-epoch n=640
s2-014,2026-08-29 21:37,s2,turn_v2/ckpt/s1-001/best.pt,s2-kd,"KD from whisper-small teacher s2-013 (T=3, a=0.5) at s2",42,626,0.862,0.858,0.84,0.837,0.968,0.97,0.417,0.59,8.0,1.6,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.0; replay_frac=0.5; kd=teacher_logits.npz; per-epoch n=640
s2-015,2026-08-29 22:24,s2,turn_v2/ckpt/s1-001/best.pt,s2-kd-control,"no-KD control, current harness (replay 626/ep) to isolate KD effect vs s2-014",42,626,0.875,0.872,0.851,0.846,0.968,0.97,0.403,0.58,8.0,1.6,209 base clips; encoder_frozen=False; unfreeze_last_k=2; label_smoothing=0.0; replay_frac=0.5; kd=off; per-epoch n=640
